,Company Name,tick,Optionable,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F1 Consensus Est.,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Sales Growth F(0)/F(-1),Annual Sales ($mil),EBIT ($mil),Cost of Goods Sold ($mil),Net Income  ($mil),Cash Flow ($mil),Current Assets  ($mil),Industry,Sector,Market Cap (mil),Last Close,52 Week High,sales_growth_f1,fcf_margin
3494,Redwood Trust,RWT,YES,0.2,0.23,5.0,0.81,149.69799,36.2,23.13,708.0,-183.44001,552.40002,-163.52001,54.17599,11699.69042,REIT and Equity Trust,Finance,771.02,6.78,10.44,-1.5538242292119855,0.07651975988700564
3498,Recursion Pharmaceuticals,RXRX,YES,-0.34,-0.33,3.0,-1.33,60.137,15.347,291.46,39.84,-239.476,48.275,-239.476,-227.72001,569.81402,Medical - Drugs,Medical,1093.85,5.72,13.6,0.41175385999483516,-5.715863704819276
3500,Rackspace Technology,RXT,YES,-0.01,-0.01,4.0,-0.04,3047.91308,750.70501,3.75,3122.3,-689.20002,2265.3999,-804.79999,1105.0,1073.19995,Technology Services,Business Services,378.86,1.78,10.45,-0.024112789367821404,0.3539057745892451
3503,Rayonier Advanced Materials,RYAM,YES,,,,-0.1,,,21.95,1717.0,42.361,1594.18395,-14.919,115.609,689.53002,Paper and Related Products,Basic Materials,345.08,5.3,9.61,,0.06733197437390798
3510,Sabre,SABR,YES,-0.17,-0.11,3.0,-0.67,2887.17993,727.57098,50.22,2537.01,-128.202,2136.91601,-435.448,-126.34401,1361.48901,Internet - Software and Services,Computer and Technology,1232.22,3.75,11.14,0.12929400067795116,-0.049800359478283485
3511,Sachem Capital,SACH,YES,0.12,0.14,1.0,0.5,63.24,16.01,71.82,52.28,20.909,0.0,20.909,24.197,546.06402,Financial - Miscellaneous Services,Finance,153.15,3.5,5.1,0.19032312358525,0.4628347360367253
3520,Banco Santander,SAN,YES,,,,0.6,58553.53125,,0.03,54920.01,29055.13085,21581.93945,10119.83007,13266.58984,406308.1875,Banks - Foreign,Finance,63347.88,3.85,4.06,0.06406363694166756,0.24156204341550558
3522,Sandstorm Gold,SAND,YES,0.01,0.03,1.0,0.09,189.5,,36.38,97.82,105.055,83.146,78.361,104.24299,32.727,Mining - Gold,Basic Materials,1711.78,5.73,8.25,0.66125996941127,1.0656613167041507
3524,S&W Seed,SANW,YES,0.01,,,-0.3,90.8,37.0,-15.1,71.35,-32.79801,64.999,-36.39501,-28.30401,77.23,Agriculture - Operations,Consumer Staples,58.62,1.37,2.0,0.24106194168440231,-0.39669250175192716
3527,"Sigma Additive Solutions, Inc.",SASI,YES,-0.19,-0.2,1.0,-0.75,2.29099,0.497,-61.86,0.63,-8.68471,0.34999,-8.69201,-8.5758,4.274,Internet - Software,Computer and Technology,5.24,0.4451,1.87,1.2910194981522363,-13.612380952380951
3529,SATELLOGIC INC,SATL,YES,,,,,,,,4.25,-117.973,1.876,-117.741,-106.43901,12.42399,Satellite and Communication,Computer and Technology,209.7,2.01,9.24,,-25.04447294117647
3533,Safe Bulkers,SB,YES,,,,0.78,282.89999,71.5,6.29,349.72,189.692,90.18,172.554,220.02799,157.701,Transportation - Shipping,Transportation,445.2,3.66,5.07,-0.212039391353349,0.6291547237790232
3536,Splash Beverage Group,SBEV,YES,-0.11,-0.11,1.0,-0.44,27.541,6.58199,59.84,18.09,-21.389,12.16899,-21.69001,-20.89901,10.65799,Beverages - Alcohol,Consumer Staples,44.37,1.08,3.2,0.42031650405470766,-1.1552797125483694
3540,Signature Bank,SBNY,YES,3.63,3.56,8.0,14.47,2502.80004,613.50097,60.58,3711.37,1856.84399,913.56298,1337.04895,1732.10095,80793.45312,Banks - Northeast,Finance,9.94,0.158,266.19,-0.3939909595681569,0.4667012316206684
3543,Companhia de saneamento Basico Do Estado De Sao Pa,SBS,YES,,,,,,,18.25,4271.77,995.13098,2779.77001,604.58898,1079.26599,1411.03894,Utility - Water Supply,Utilities,,9.62,11.77,,0.25265077239645395
3545,Sibanye Gold Limited,SBSW,YES,,,,2.03,7572.83007,,-27.44,8448.0,1880.0,6208.0,1126.0,1126.0,3567.0,Mining - Miscellaneous,Basic Materials,6397.08,9.04,14.99,-0.10936287601174624,0.13328598484848486
3555,comScore,SCOR,YES,-0.01,0.01,1.0,0.02,389.63,94.41,2.56,376.42,-63.92201,205.294,-66.561,26.19,104.82099,Business - Services,Business Services,95.88,1.04,2.34,0.034492029594844154,0.06957653684713884
3558,Steelcase,SCS,YES,-0.03,0.23,1.0,0.63,3242.0,717.79998,16.59,3232.6,80.0,2313.19995,35.29999,155.85,884.0,Business - Office Products,Business Services,956.07,8.39,12.43,0.002903656319913231,0.04821196560044546
3560,Societal CDMO,SCTL,YES,-0.02,-0.01,2.0,-0.06,96.47499,23.77,19.71,90.21,-4.71701,67.07599,-19.88101,-3.66301,55.58599,Medical - Products,Medical,73.02,0.86,1.84,0.06714351810133344,-0.04060536525884049
3561,OchZiff Capital Management Group,SCU,YES,0.32,0.41,1.0,1.87,472.54998,76.77999,-33.07,419.0,-24.10301,0.0,-16.21,145.14399,1264.89904,Financial - Investment Management,Finance,534.41,8.47,12.4,0.12027259919536286,0.3464057040572792
3563,SecureWorks,SCWX,YES,-0.15,-0.1,1.0,-0.34,395.0,97.47,-13.4,463.48,-148.02901,191.64199,-114.49901,16.562,234.28999,Computers - IT Services,Computer and Technology,807.58,9.42,12.37,-0.1598774692277397,0.03573401225511349
3564,SCYNEXIS,SCYX,YES,1.04,-0.24,1.0,0.47,109.13999,91.5,-61.32,5.09,-62.31101,0.628,-62.809,-60.614,79.06099,Medical - Drugs,Medical,105.64,3.17,3.67,3.065353539570215,-11.90844793713163
3566,SmileDirectClub,SDC,YES,-0.1,-0.07,6.0,-0.45,426.86401,103.33499,-26.17,470.74,-260.534,142.88999,-86.404,-6.112,297.419,Medical - Dental Supplies,Medical,160.15,0.41,2.13,-0.09784043986175098,-0.012983812720397671
3568,Stronghold Digital Mining,SDIG,YES,-0.12,-0.11,2.0,-0.43,91.55,23.0,242.98,106.03,-181.26101,85.80999,-89.26101,-39.04001,35.64199,Technology Services,Business Services,65.99,0.9834,4.21,-0.14683680181718717,-0.3681977742148449
3572,SeaChange International,SEAC,YES,,,,,,,18.98,32.49,-11.60001,11.96599,-11.40401,9.637,35.11199,Communication - Components,Computer and Technology,24.84,0.4919,1.15,,0.2966143428747307
3574,Horizon Acquisition,SEAT,YES,0.07,0.07,3.0,0.3,595.57,142.753,35.49,600.27,82.04699,140.50799,28.662,39.616,331.51599,Technology Services,Business Services,1416.54,7.25,10.3,-0.007860623830656416,0.06599696803105269
3575,Secoo Holding,SECO,YES,,,,,,,-46.73,491.42,-93.50801,472.87799,-88.798,-78.70801,647.79602,Internet - Commerce,Retail-Wholesale,,0.8112,3.97,,-0.16016444182165968
3582,Global Self Storage,SELF,YES,,,,,,,13.66,11.94,2.838,4.169,2.058,3.8171,6.683,REIT and Equity Trust - Other,Finance,56.97,5.13,6.54,,0.31969011725293134
3584,SEMrush,SEMR,YES,-0.01,0.02,6.0,0.01,307.095,74.89099,35.27,254.32,-32.917,48.553,-33.848,-10.81701,257.37899,Internet - Software,Computer and Technology,1385.96,9.78,14.43,0.1885638293701045,-0.04253306857502359
3585,Senseonics,SENS,YES,-0.04,-0.05,2.0,-0.16,23.96699,3.83999,19.85,16.39,160.822,13.663,142.119,143.104,161.19999,Medical Info Systems,Medical,308.98,0.644,2.23,0.38000607417181687,8.731177547284931
3586,SES AI,SES,YES,,,,-0.25,,,,,-49.738,0.0,-50.99301,-67.879,396.64099,Electronics - Miscellaneous Products,Computer and Technology,689.13,1.97,8.32,,
3587,Sono Group,SEV,YES,,,,-1.13,50.06499,11.22,,0.02,-69.98501,0.06861,-75.66301,-75.48001,168.483,Automotive - Foreign,Auto-Tires-Trucks,23.36,0.258,6.3,7.825344966847554,-3774.0004999999996
3590,Safeguard Scientifics,SFE,YES,,,,,,,,,-14.263,0.0,-14.263,-13.992,21.423,Financial - SBIC & Commercial Industry,Finance,28.73,1.7663,4.72,,
3591,Stitch Fix,SFIX,YES,-0.32,-0.24,10.0,-1.65,1636.37597,389.52899,-1.35,2072.81,-209.47001,1164.33801,-207.12101,-143.73,477.25201,Retail - Apparel and Shoes,Retail-Wholesale,460.15,4.09,10.68,-0.23642115235464065,-0.06934065350900469
3592,SFL,SFL,YES,,,,,,,30.58,670.39,320.10699,205.143,202.768,397.80398,296.98199,Transportation - Shipping,Transportation,1284.47,9.27,11.49,,0.593391876370471
3596,Shift Technologies,SFT,YES,-2.63,-2.02,2.0,-13.51,418.824,92.76999,5.32,670.75,-160.76601,645.41998,-172.04201,-182.407,178.421,Internet - Commerce,Retail-Wholesale,23.77,1.38,15.6,-0.4709457053610537,-0.2719448378680582
3597,Sweetgreen,SG,YES,-0.26,-0.26,4.0,-1.1,584.00799,153.26199,38.32,470.11,-189.01301,400.819,-190.441,-132.446,346.14898,Retail - Restaurants,Retail-Wholesale,818.79,7.35,28.42,0.2169479543678753,-0.28173406224075215
3598,SAFE&GREEN HLDG,SGBX,YES,,,,,,,-36.36,24.4,-6.753,21.13999,-8.31901,-7.2611,7.506,Textile - Home Furnishing,Consumer Discretionary,13.17,0.9198,2.4,,-0.2975860655737705
3599,Superior Group of Companies,SGC,YES,0.15,0.31,2.0,0.93,590.42401,142.49,7.79,578.83,-33.141,385.47198,-31.97,68.955,317.983,Textile - Apparel,Consumer Discretionary,125.72,7.62,18.99,0.019832115014153454,0.11912824145258538
3602,Super Group (SGHC),SGHC,YES,0.04,0.03,1.0,0.14,1420.41003,365.91,,1562.58,274.80801,0.0,279.06698,359.216,693.71502,Gaming,Consumer Discretionary,1746.21,3.61,10.23,-0.0953927178647225,0.2298864698127456
3604,Singularity Future Technology,SGLY,YES,,,,,,,-22.58,3.99,-28.928,4.136,-28.258,0.53364,63.165,Technology Services,Business Services,14.48,0.66,6.75,,0.13374436090225564
3608,Sigilon Therapeutics,SGTX,YES,,,,,12.0,,34.85,12.94,-41.271,0.0,-43.56101,-42.28901,74.411,Medical - Drugs,Medical,22.73,0.7,1.38,-0.07541663928475421,-3.268084234930448
3613,SOHO HOUSE&CO,SHCO,YES,-0.1,-0.09,3.0,-0.45,1187.31896,300.027,73.44,972.21,-143.15,524.92901,-220.58001,-120.65001,381.207,Internet - Software,Computer and Technology,1267.1,6.48,9.32,0.19988123904170127,-0.12409871324096645
3614,Sharecare,SHCR,YES,-0.03,-0.02,1.0,-0.09,459.199,111.166,7.17,442.42,-117.26001,238.29299,-118.70701,-73.451,320.626,Medical Services,Medical,605.58,1.7,3.17,0.03722401015976049,-0.1660209755436011
3617,Seanergy Maritime Holdings,SHIP,YES,,,,,,,-18.35,125.02,32.54299,47.84299,17.239,54.48799,61.644,Transportation - Shipping,Transportation,93.87,5.16,12.3,,0.4358341865301552
3620,Sunstone Hotel Investors,SHO,YES,0.28,0.21,5.0,0.88,972.98101,262.13101,79.13,912.05,123.12999,319.43099,87.289,227.001,213.966,REIT and Equity Trust - Other,Finance,2021.94,9.71,12.68,0.06466975190476093,0.2488909599254427
3623,Shapeways Holdings,SHPW,YES,,,,,,,-1.39,33.16,-20.18301,18.85899,-20.22101,-18.70701,49.75299,Technology Services,Business Services,13.9,0.2802,2.36,,-0.5641438480096502
3628,Silvergate Capital,SI,YES,,,,-0.56,,,77.84,175.65,86.396,0.134,-937.90998,127.13099,7208.81396,Banks - Southwest,Finance,48.12,1.52,130.99,,0.7237744947338457
3630,National Steel,SID,YES,,,,0.63,8831.41015,,-3.25,8592.1,1480.151,6015.16308,419.88299,419.84201,5929.61376,Steel - Producers,Basic Materials,3871.19,2.79,4.75,0.02747152531946378,0.04886372481698304
3631,Siebert Financial,SIEB,YES,,,,,,,-25.78,50.1,-3.85,2.14299,-1.99001,-0.99501,705.37597,Financial - Investment Bank,Finance,64.2,1.975,2.46,,-0.019860479041916165
3632,Sientra,SIEN,YES,-1.08,-0.97,1.0,-4.03,106.69999,26.2,12.23,90.55,-64.168,48.955,-73.307,-67.07801,107.749,Medical - Instruments,Medical,17.26,1.57,16.5,0.16411888025756857,-0.7407842076200994
3633,Sify Technologies Limited,SIFY,YES,0.01,0.02,1.0,0.07,550.79998,129.5,10.73,362.79,38.865,211.617,16.59399,61.66799,290.29299,Internet - Services,Computer and Technology,255.79,1.3997,2.71,0.41754757607838466,0.16998260701783402
3635,Siga Technologies,SIGA,YES,,,,1.06,176.44299,,-17.13,110.78,44.13299,10.43299,33.90499,34.423,185.78599,Medical - Drugs,Medical,412.27,5.71,26.15,0.4654515687588817,0.31073298429319374
3639,SilverCrest Metals,SILV,YES,0.14,0.13,2.0,0.54,265.20001,,,43.51,43.95399,15.09,31.301,33.23799,111.791,Mining - Miscellaneous,Basic Materials,977.62,6.64,8.44,1.8074934992865086,0.7639161112387958
3642,Sirius XM,SIRI,YES,0.08,0.08,4.0,0.31,9025.63671,2247.62207,3.53,9003.0,2027.0,4130.0,1213.0,1837.68005,1038.0,Broadcast Radio and Television,Consumer Discretionary,14939.52,3.84,6.78,0.002511196188587506,0.2041186326779962
3646,SVB Financial Group,SIVBQ,YES,4.06,4.07,1.0,-10.91,5420.26611,1355.75,22.8,7401.0,2498.0,862.0,1672.0,2206.0,90499.0,Banks - West,Finance,42.12,0.7114,543.31,-0.3114702141830536,0.2980678286718011
3649,San Juan Basin Royalty Trust,SJT,YES,,,,,,,110.14,79.07,77.59899,0.0,77.59899,77.59899,5.48799,Oil and Gas - Royalty Trust - United States,Oils-Energy,438.12,9.4,15.15,,0.9813961047173392
3651,Skeena Resources Limited,SKE,YES,-0.09,-0.08,1.0,-0.35,,,,,-68.37401,0.0,-68.37401,-54.427,38.555,Oil and Gas - Exploration and Production - Canadian,Oils-Energy,506.52,6.49,10.38,,
3652,Skillsoft,SKIL,YES,-0.2,-0.2,1.0,-0.9,548.20001,131.55,22.18,555.12,-777.54603,152.01499,-724.96399,706.13299,405.74398,Technology Services,Business Services,221.56,1.38,6.35,-0.012544104481090472,1.2720366587404524
3654,Skillz,SKLZ,YES,-0.07,-0.07,3.0,-0.27,192.863,46.49,-29.78,269.71,-415.228,30.718,-438.875,-230.95101,501.68301,Gaming,Consumer Discretionary,263.04,0.6225,2.31,-0.33536721540701764,-0.856293834118127
3659,SkyWater Technology,SKYT,YES,-0.1,-0.09,2.0,-0.39,257.35,63.79999,30.76,212.94,-30.86801,186.97399,-39.593,-1.20001,116.551,Electronics - Semiconductors,Computer and Technology,434.67,9.9,19.03,0.18942659021230346,-0.005635437212360289
3661,SKYX PLATFORMS,SKYX,YES,,,,,,,-25.58,0.03,-26.44701,0.01891,-27.071,-30.879,16.32999,Technology Services,Business Services,297.57,3.58,13.35,,-1029.3000000000002
3667,Solid Power,SLDP,YES,-0.11,-0.11,1.0,-0.45,16.47299,4.5,334.7,11.79,-9.74,9.592,-9.55501,-6.752,327.80801,Automotive - Original Equipment,Auto-Tires-Trucks,408.37,2.31,9.03,0.33447035536141445,-0.5726887192536048
3670,"SomaLogic, Inc.",SLGC,YES,-0.18,-0.17,2.0,-0.67,80.94999,19.5,19.65,97.67,-109.87401,43.36399,-109.157,-148.36701,581.70098,Technology Services,Business Services,578.7,3.08,6.93,-0.18776289286879425,-1.5190642981468208
3671,Super League Gaming,SLGG,YES,-0.16,-0.18,1.0,-0.63,27.03,5.84,68.58,19.68,-84.977,11.16199,-85.451,20.75799,9.99699,Gaming,Consumer Discretionary,22.21,0.5906,1.6,0.3173444686642489,1.0547759146341464
3672,SolGel Technologies,SLGL,YES,-0.22,-0.25,2.0,-0.63,7.9,1.04999,-87.58,3.88,-14.92301,0.0,-14.92301,-14.36101,43.055,Medical - Generic Drugs,Medical,89.74,3.88,7.36,0.7110276058377939,-3.701291237113402
3674,Standard Lithium,SLI,YES,-0.02,,,-0.08,,,,,-30.088,0.0,-30.10301,-19.31901,104.13899,Alternative Energy - Other,Oils-Energy,596.58,3.5,6.97,,
3676,Mechanical Technology,SLNH,YES,,,,,,,99.0,28.55,-99.987,36.506,-98.715,-8.341,4.642,Technology Services,Business Services,6.78,0.2748,9.57,,-0.29215411558668997
3677,Soleno Therapeutics,SLNO,YES,-0.7,-0.36,1.0,-1.62,,,,,-24.067,0.0,-24.067,-22.10301,15.647,Medical - Drugs,Medical,32.27,3.95,3.95,,
3679,SelectQuote,SLQT,YES,,,,,,,-18.53,764.04,-346.211,466.80801,-297.504,-174.42301,1109.37097,Insurance - Multi line,Finance,311.38,1.87,3.18,,-0.2282904167321083
3688,Sumitomo Mitsui Financial Group,SMFG,YES,,,,0.92,,,-0.53,36619.86,6020.52978,0.0,4541.70605,10142.07031,1753916.0,Banks - Foreign,Finance,57943.24,8.43,9.03,,0.2769554637838593
3690,SEACOR Marine,SMHI,YES,,,,,,,27.13,217.32,-40.37201,171.985,-71.65001,-8.50301,132.576,Transportation - Shipping,Transportation,222.74,8.22,11.45,,-0.03912667955089269
3693,Summit Therapeutics,SMMT,YES,,,,,,,-96.9,0.7,-78.782,0.0,-78.782,-76.268,656.71197,Medical - Drugs,Medical,1095.37,1.57,5.41,,-108.95428571428572
3696,NuScale Power,SMR,YES,,,,-0.22,,,312.44,11.8,-141.573,7.31699,-57.06901,-138.875,284.415,Electronics - Power Generation,Computer and Technology,1979.36,8.72,15.32,,-11.76906779661017
3697,"SmartRent, Inc.",SMRT,YES,-0.08,-0.05,2.0,-0.21,242.61099,60.24399,51.69,167.82,-103.656,166.473,-96.322,-83.62301,378.35598,Technology Services,Business Services,476.46,2.39,6.26,0.3685673199488138,-0.4982898939339769
3698,Smith Micro Software,SMSI,YES,-0.03,0.0,2.0,-0.06,49.137,11.43299,-16.96,48.51,-26.373,14.21,-29.279,-11.242,26.51,Computer - Software,Computer and Technology,70.41,1.2,3.4,0.01284235291122708,-0.23174603174603178
3700,Similarweb,SMWB,YES,-0.12,-0.09,2.0,-0.44,221.52,53.54,40.36,193.23,-87.56601,53.27399,-83.66101,-53.6,142.182,Internet - Content,Computer and Technology,436.07,5.87,13.48,0.13663168963579742,-0.27738963928996535
3704,Synchronoss Technologies,SNCR,YES,-0.01,0.01,3.0,0.01,245.022,59.749,-9.97,252.63,7.78299,91.702,-7.916,50.469,105.287,Internet - Software,Computer and Technology,86.38,0.9512,1.77,-0.03057796527832837,0.19977437358983494
3706,Smart Sand,SND,YES,0.06,0.1,1.0,0.27,262.70001,68.0,101.93,255.74,-2.3,226.149,-0.70301,26.868,68.11299,Oil and Gas - Field Services,Oils-Energy,76.08,1.66,4.35,0.02685143137470661,0.10505982638617345
3707,SNDL INC,SNDL,YES,,,,,,,-1.53,44.78,-182.47701,57.875,-183.82201,-176.144,581.01098,Medical - Products,Medical,,1.44,5.31,,-3.933541759714158
3713,Snap One,SNPO,YES,0.16,0.22,6.0,0.58,1060.77197,264.15899,11.49,1123.81,25.70499,682.638,-8.62601,114.29599,412.72198,Electronics - Miscellaneous Components,Computer and Technology,724.83,9.51,13.98,-0.05772778139050673,0.10170401580338315
3719,SoFi Technologies,SOFI,YES,-0.07,-0.05,7.0,-0.2,1970.96398,474.45999,59.77,1573.54,-189.239,59.79299,-320.40702,-169.047,15711.33007,Technology Services,Business Services,5551.24,5.94,8.23,0.2251948947811548,-0.10743101541746634
3721,Solaris Oilfield Infrastructure,SOI,YES,0.24,0.28,2.0,1.02,385.35,94.8,101.02,320.01,41.804,219.77499,21.158,66.105,88.74299,Oil and Gas - Field Services,Oils-Energy,365.47,7.74,14.25,0.1857997669185012,0.20657166963532392
3722,Emeren Group Ltd. Sponsored ADR,SOL,YES,0.09,0.1,4.0,0.31,147.38299,42.18799,2.2,81.41,11.25899,56.93199,5.90299,5.32899,226.904,Solar,Oils-Energy,251.14,4.17,7.41,0.593536457238856,0.0654586660115465
3723,ElectraMeccanica Vehicles,SOLO,YES,-0.14,-0.15,2.0,-0.56,16.64999,3.29999,224.23,6.81,-123.67501,33.068,-123.699,-94.58301,150.15299,Automotive - Foreign,Auto-Tires-Trucks,60.71,0.5089,1.92,0.8940174956642509,-13.888841409691631
3725,SONDER HOLDINGS,SOND,YES,-0.16,-0.18,1.0,-0.83,620.16998,165.85,97.94,461.08,-143.704,320.01599,-165.74201,30.92099,312.92999,Leisure and Recreation Services,Consumer Discretionary,117.69,0.5367,4.49,0.2964220380213091,0.06706209334605709
3728,SOS Limited,SOS,YES,,,,,,,611.53,357.82,-48.31201,336.75201,-49.251,-38.697,663.50701,Technology Services,Business Services,45.12,4.41,29.5,,-0.10814655413336316
3729,SoundHound AI,SOUN,YES,-0.08,-0.06,2.0,-0.28,45.895,8.9405,46.86,31.13,-105.59101,9.59899,-115.37301,-105.86001,17.70299,Computers - IT Services,Computer and Technology,534.38,2.43,14.98,0.38818419421753764,-3.400578541599743
3734,Virgin Galactic,SPCE,YES,-0.51,-0.51,4.0,-2.24,8.43249,1.36,-29.77,2.31,-487.42402,0.0,-500.15201,-487.056,1001.61401,Aerospace - Defense,Aerospace,963.7,3.51,8.33,1.2948445775313293,-210.84675324675322
3739,SPI Energy Co.,SPI,YES,,,,,,,9.58,177.52,-24.53701,163.033,-33.42101,8.13,81.956,Solar,Oils-Energy,42.39,1.3992,2.37,,0.04579765660207301
3740,Spire,SPIR,YES,-0.08,-0.07,2.0,-0.37,105.305,24.575,85.06,80.27,-75.13401,40.32699,-89.41101,-33.403,96.776,Aerospace - Defense,Aerospace,101.36,0.704,1.9,0.27146494924996106,-0.4161330509530335
3743,SiriusPoint,SPNT,YES,,,,,,,-3.44,2105.6,-384.10001,2050.30004,-386.79999,-390.10001,4198.3999,Insurance - Multi line,Finance,1508.52,9.29,9.5,,-0.18526786189209726
3746,Spectrum Pharmaceuticals,SPPI,YES,-0.04,-0.03,2.0,-0.2,59.533,14.3,,10.11,-77.06,1.792,-75.40101,-78.128,101.011,Medical - Drugs,Medical,144.0,0.7014,1.56,1.7730057476220906,-7.727794263105836
3749,Spruce Power Holding Corporation,SPRU,YES,,,,,,,48.68,23.19,-42.61701,9.949,-93.931,-25.647,274.95599,Alternative Energy - Other,Oils-Energy,106.51,0.72,1.6,,-1.1059508408796894
3750,"ARS Pharmaceuticals, Inc.",SPRY,YES,-0.16,-0.17,3.0,-0.68,7.80329,,-76.1,1.32,-34.682,0.0,-34.682,-34.363,277.70001,Medical - Drugs,Medical,617.69,6.54,9.11,1.7769137030386104,-26.032575757575756
3754,Sportsman's Warehouse,SPWH,YES,-0.37,0.12,1.0,0.5,1370.06396,265.29699,-7.08,1399.52,58.06299,939.27502,40.518,75.007,425.89599,Retail - Apparel and Shoes,Retail-Wholesale,231.24,6.14,10.82,-0.021271895807750907,0.053594803932776956
3759,Presidio Property Trust,SQFT,YES,,,,,,,-7.63,17.76,6.19799,5.841,-2.12701,3.5232,153.388,Industrial Services,Industrial Products,13.07,1.0,3.96,,0.19837837837837838
3761,Sequans Communications,SQNS,YES,-0.11,-0.1,2.0,-0.38,56.9,12.1,19.01,60.55,4.66499,17.67099,-9.00801,6.651,40.441,Electronics - Semiconductors,Computer and Technology,118.38,2.47,4.1,-0.06217412886681595,0.1098431048720066
3766,SRAX,SRAX,YES,0.05,0.04,1.0,0.08,32.84,9.84,94.88,28.55,-5.99901,6.52099,-34.76201,-8.74101,22.985,Technology Services,Business Services,14.74,0.51,4.13,0.13999034848220834,-0.3061649737302977
3772,Seritage Growth Properties,SRG,YES,,,,,,,-8.25,107.06,-32.90101,65.72,-73.945,3.34699,557.57202,REIT and Equity Trust - Other,Finance,459.13,8.19,14.06,,0.03126274985989165
3774,Scully Royalty,SRL,YES,,,,,,,28.19,56.88,15.545,24.669,6.03499,14.82999,116.217,Banks - Foreign,Finance,99.31,6.7,10.34,,0.2607241561181435
3778,StarTek,SRT,YES,0.08,0.14,1.0,0.52,547.5,87.0,-45.27,385.07,13.63599,327.277,-2.25901,61.323,355.738,Outsourcing,Business Services,129.73,3.22,4.4,0.3519373257479758,0.15925156465058302
3779,Sensus Healthcare,SRTS,YES,0.19,0.22,2.0,0.79,50.18799,12.329,64.68,44.53,27.992,14.904,24.24399,24.559,53.241,Medical - Instruments,Medical,81.16,4.95,14.97,0.11961263571300552,0.5515158320233551
3784,The E.W. Scripps Company,SSP,YES,,,,0.1,,,7.43,2453.22,437.59298,1233.76904,195.90199,356.65701,643.94097,Broadcast Radio and Television,Consumer Discretionary,736.32,8.81,18.06,,0.1453832147137232
3786,SURO Capital,SSSS,YES,,,,,,,134.94,3.46,-127.33101,0.0,-132.17701,97.28099,41.539,Financial - Investment Funds,Finance,104.85,3.7,8.67,,28.115893063583815
3787,System1,SST,YES,,,,-0.69,,,,,21.027,0.0,21.027,21.027,0.12022,Advertising and Marketing,Business Services,333.81,3.65,14.08,,
3797,STEEL CONNECT,STCN,YES,,,,,,,-66.88,203.27,5.25199,161.73599,-10.96801,-5.23001,109.83,Computers - IT Services,Computer and Technology,58.96,0.97,1.46,,-0.02572937472327446
3800,Stem,STEM,YES,-0.21,-0.15,3.0,-0.68,612.169,92.53099,184.98,362.98,-128.747,329.888,-124.05401,-78.5,532.755,Computers - IT Services,Computer and Technology,675.49,4.37,17.42,0.5226606518542422,-0.21626535897294616
3803,Stagwell Inc.,STGW,YES,0.23,0.23,1.0,0.65,2773.15991,693.94,82.92,2687.79,149.563,1673.57604,27.26899,385.39099,1030.95495,Advertising and Marketing,Business Services,1886.74,6.45,9.21,0.031268137148862785,0.14338582627363
3804,Neuronetics,STIM,YES,-0.33,-0.3,2.0,-1.32,69.16999,17.805,17.89,65.21,-32.90801,15.48299,-37.15901,-35.51101,98.76899,Medical - Instruments,Medical,62.6,2.2,6.87,0.05895426663602614,-0.5445638705719982
3805,Steakholder Foods Ltd. Sponsored ADR,STKH,YES,-0.04,-0.02,1.0,-0.12,3.5,0.87999,,,-30.48101,0.0,-30.76701,-29.248,7.11399,Food - Meat Products,Consumer Staples,9.84,0.7998,4.98,,
3806,SunOpta,STKL,YES,-0.01,0.01,1.0,0.01,1008.17999,244.89999,15.02,934.66,2.87599,811.80798,-4.84101,48.26599,302.35699,Food - Miscellaneous,Consumer Staples,939.32,8.135,11.52,0.07571916740572626,0.05164015791838744
3807,The ONE Group Hospitality,STKS,YES,0.14,0.1,2.0,0.62,370.389,91.275,14.24,316.64,16.30599,250.054,13.534,31.246,78.536,Retail - Restaurants,Retail-Wholesale,260.47,8.17,10.05,0.15678832285259559,0.09867988883274381
3820,Starry Group,STRYQ,YES,,,,,,,,,25.548,0.0,25.548,25.548,0.74699,Wireless National,Computer and Technology,0.85,0.0051,10.61,,
3827,Stereotaxis,STXS,YES,-0.06,-0.06,2.0,-0.22,37.65,8.8,-19.63,28.15,-18.292,9.677,-18.292,-17.991,43.24599,Medical - Instruments,Medical,133.6,1.78,2.9,0.2907855996602031,-0.6391119005328597
3834,Sunlight Financial Holdings,SUNL,YES,0.0,0.01,1.0,0.05,109.9,26.2,64.94,114.74,-243.299,20.429,-153.42501,310.35,165.052,Technology Services,Business Services,56.42,0.4363,4.63,-0.04309783776414928,2.70481087676486
3835,Sunworks,SUNW,YES,-0.22,-0.15,2.0,-0.71,187.8,42.84999,60.09,161.93,-27.945,90.621,-28.21101,-22.28101,74.85199,Solar,Oils-Energy,32.94,0.93,4.43,0.1482134236887832,-0.13759655406657195
3836,Superior Industries International,SUP,YES,,,,,160.513,440.13,18.42,1639.9,97.452,1473.51501,36.98099,138.72599,508.914,Automotive - Original Equipment,Auto-Tires-Trucks,136.2,4.86,7.21,-2.3240156071746645,0.08459417647417525
