,Company Name,tick,Optionable,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F1 Consensus Est.,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Sales Growth F(0)/F(-1),Annual Sales ($mil),EBIT ($mil),Cost of Goods Sold ($mil),Net Income  ($mil),Cash Flow ($mil),Current Assets  ($mil),Industry,Sector,Market Cap (mil),Last Close,52 Week High,sales_growth_f1,fcf_margin
2577,Mistras Group,MG,YES,,,,,,,1.51,687.37,19.79899,489.20001,6.499,39.78799,167.882,Electronics - Miscellaneous Products,Computer and Technology,237.7,7.87,8.13,,0.057884385411059544
2583,Magnite,MGNI,YES,0.12,0.16,1.0,0.62,543.75,129.1,23.2,577.07,-135.59701,307.165,-130.323,317.816,1326.26098,Internet - Software,Computer and Technology,1272.24,9.42,13.76,-0.059473993904586846,0.5507408113400453
2584,MacroGenics,MGNX,YES,-0.42,-0.49,3.0,-0.5,219.414,33.533,96.19,151.94,-119.75801,7.38399,-119.75801,-107.49,222.17999,Medical - Products,Medical,429.78,6.95,8.2,0.367474650122236,-0.7074503093326313
2591,Maiden Holdings,MHLD,YES,,,,,,,-41.11,58.13,-41.06201,76.50199,-60.04101,-63.515,613.44702,Insurance - Property and Casualty,Finance,222.35,2.19,2.57,,-1.09263719249957
2594,Airspan Networks,MIMO,YES,-0.19,-0.18,1.0,-0.61,232.37699,54.5,-5.65,167.26,-65.185,100.819,-85.38201,-80.76001,89.69699,Communication - Network Software,Computer and Technology,38.78,0.52,3.42,0.32881152179550815,-0.48284114552194185
2595,MIND Technology,MIND,YES,,,,,,,51.86,35.09,-13.61801,17.08499,-8.832,-7.43101,29.245,Technology Services,Business Services,8.28,0.6005,1.3,,-0.21177001994870331
2596,Mirion Technologies,MIR,YES,,,,,,,122.85,717.8,-264.70002,407.70001,-276.9,252.1,480.6,Technology Services,Business Services,1903.31,8.44,9.46,,0.3512120367790471
2600,Mitek Systems,MITK,YES,0.25,0.26,1.0,0.98,165.25,43.61999,18.25,119.8,13.93099,14.53999,7.978,48.76599,204.05599,Computer - Optical Imaging,Computer and Technology,400.78,8.97,13.31,0.32163579305044665,0.40706168614357263
2601,AG Mortgage Investment Trust,MITT,YES,,,,,,,155.16,180.3,76.07599,8.09599,-53.1,25.707,4206.13476,REIT and Equity Trust,Finance,120.39,5.72,8.32,,0.14257903494176372
2602,MiX Telematics,MIXT,YES,0.14,0.16,2.0,0.64,159.69599,37.733,12.92,143.29,13.36499,51.859,8.94699,27.54899,74.62999,Internet - Software,Computer and Technology,194.55,7.9899,11.05,0.1084013965967412,0.19226038104543236
